제목,저자,역자,출간일,페이지,정가,판가,마일리지
하루 한 장 초등과학 365,치바 가즈요시 ," 허영은 , 유우종 (감수) ",20211214,416,19800,17820,990
"다시, 배우다",폴 김 ,--,20211210,304,16000,14400,800
당당한 디자인 결정을 위한 9가지 방법,톰 그리버 ," 김민성 , 곽서희 ",20211210,376,22000,19800,1100
365 부모 말하기 연습 일력(스프링북),"박재연 , 공인영 ",--,20211201,384,18000,16200,900
공학도를 위한 수치해석(8판),"Steven C.Chapra , Raymond P. Canale "," 나양 , 이승배 , 임윤철 ",20211130,600,36000,36000,1080
엑셀 매크로&VBA 업무 공략집,최준선 ,--,20211130,328,22000,19800,1100
데이터 과학자 되는 법,"에밀리 로빈슨 , 재클린 놀리스 ", 이창화 ,20211126,372,24000,21600,1200
돈 되는 기획,김도균 ,--,20211126,240,14500,13050,725
빠르게 찾아 바로 적용하는 엑셀 에센스 사전 100,한은숙 ,--,20211125,300,18000,16200,900
초등 어휘력이 공부력이다,박명선 ,--,20211125,412,18000,16200,900
만화로 배우는 의학의 역사(개정판),"장 노엘 파비아니 , 필리프 베르코비치 , 김모 , 조한나 ", --,20211115,296,20800,18720,1040
"스토리텔링 우동이즘의 잘 팔리는 웹툰, 웹소설 이야기 만들기",우동이즘(이동우) ,--,20211115,232,16000,14400,800
중학교 입학 가이드,배혜림 ,--,20211111,376,16500,14850,825
보고서 작성 실무 강의(개정판),홍장표 , --,20211108,400,18000,16200,900
비겁한 돈,"황현희 , 제갈현열 ",--,20211108,248,16000,14400,800
나도 영문 손글씨 잘 쓰면 소원이 없겠네,윤정희(리제 캘리그라피) ,--,20211105,240,16800,15120,840
구글 BERT의 정석,수다르산 라비찬디란 ," 전희원 , 정승환 , 김형준 ",20211103,368,34000,30600,1700
1000개 숨은그림찾기 몬스터 : 찾아도 찾아도 끝판왕,김확실 ,--,20211102,96,8000,7200,400
1000개 숨은그림찾기 보물찾기 : 찾아도 찾아도 끝판왕,전진희 ,--,20211102,96,8000,7200,400
1000개 숨은그림찾기 탈것 : 찾아도 찾아도 끝판왕,이한이 ,--,20211102,96,8000,7200,400
UX/UI 디자이너를 위한 실무 피그마,클레어 정 ,--,20211101,352,24000,21600,1200
머신러닝 디자인 패턴,"발리아파 락슈마난 , 세라 로빈슨 , 마이클 먼 "," 맹윤호 , 임지순 ",20211101,460,38000,34200,1900
소프트웨어 아키텍처 101,"마크 리처즈 , 닐 포드 ", 이일웅 ,20211101,472,32000,28800,1600
혼자 공부하는 SQL,우재남 ,--,20211101,444,24000,21600,1200
"IT CookBook, 그림으로 배우고 실생활 예제로 실습하는 자바를 부탁해",박세홍(홍팍) ,--,20211029,556,26000,26000,780
온톨로지 과학자를 위한 지식그래프,"딘 알레망 , 제임스 핸들러 , 파비엔 갠던 ", 김학래 ,20211029,544,45000,45000,1350
똑똑한 두뇌 연습 : 놀이공원 미로찾기,권나영 ,--,20211028,76,7500,6750,375
한 권으로 다지는 머신러닝&딥러닝 with 파이썬,"알베르토 아르타산체스 , 프라틱 조시 ", 여인춘 ,20211021,680,40000,36000,2000
"IT CookBook, 시스템 프로그래밍: 리눅스&유닉스",이종원 ,--,20211015,552,28000,28000,840
살아 움직이는 머신러닝 파이프라인 설계,"하네스 하프케 , 캐서린 넬슨 ", 송호연 ,20211011,416,32000,28800,1600
그로킹 심층 강화학습,미겔 모랄레스 , 강찬석 ,20211010,500,35000,31500,1750
시험장에 몰래 가져갈  이경오의 SQL+SQLD 비밀노트,이경오 ,--,20211010,556,32000,28800,1600
1000개 숨은그림찾기 바다 동물,이한이 ,--,20211008,96,8000,7200,400
1000개 숨은그림찾기 아이스크림,김확실 ,--,20211008,96,8000,7200,400
심리 읽어드립니다,"김경일 , 사피엔스 스튜디오 ",--,20211008,332,17500,15750,875
한번에 적용하는 분석,히든그레이스 데이터분석팀 ,--,20211008,356,24000,24000,720
탐험! 숲체험 생물 도감,이치니치 잇슈 , 박현숙 ,20211006,132,13000,11700,650
깍두기 가계부 2022,쓰담여사 ,--,20211001,192,14800,13320,740
미국 주식으로 시작하는 슬기로운 퀀트투자,"김용환 , Yubin Kim ",--,20210930,416,32000,28800,1600
제대로 배우는 수학적 최적화,우메타니 슌지 , 김모세 ,20210930,424,38000,34200,1900
"1년에 5,000만 원 버는 수익 확장 노하우 네이버 블로그로 돈 벌기",김동석 ,--,20210928,312,16000,14400,800
디자인 1등 유튜버 존코바의 클릭을 유도하는 유튜브 디자인 with 포토샵,존코바(이요한) ,--,20210927,348,19800,17820,990
핸즈온 해킹,"매슈 히키 , 제니퍼 아커리 ", 류광 ,20210927,776,45000,40500,2250
정리 잘하는 사람은 이렇게 합니다,고메다 마리나 , 박연정 ,20210917,208,15000,13500,750
두 발로 선 경제,이용우 ,--,20210910,468,23000,20700,1150
인공지능 논리 입문,이은정 ,--,20210910,260,22000,22000,660
머신러닝 파워드 애플리케이션,에마뉘엘 아메장 , 박해선 ,20210906,304,27000,24300,1350
유튜브 마케팅 인사이트,서양수 ,--,20210903,280,16500,14850,825
웹 브라우저 속 머신러닝 TensorFlow.js,카이 사사키 , 유수연 ,20210901,312,25000,22500,1250
"IT CookBook, 처음 만나는 전기기기(2판)","최은혁 , 박숭규 ", --,20210831,328,24000,24000,720
모바일 UX/UI 디자인 강의 with Adobe XD,김영삼 ,--,20210830,404,26000,23400,1300
인문학 거저보기 : 서양철학 편,지하늘 ,--,20210830,380,18500,16650,925
처음 배우는 플라스크 웹 프로그래밍,윤정현 ,--,20210830,260,19800,17820,990
"IT CookBook, 현대 센서공학(5판)",Jacob Fraden ," 김윤 , 김혁 , 박동욱 ",20210827,688,35000,35000,1050
방구석 심리학 실험실,마이클 A. 브릿 , 류초롱 ,20210825,388,18000,16200,900
"IT CookBook, 모바일 웹 서비스 구현을 위한 JSP 웹 프로그래밍","김현규 , 박유현 ",--,20210823,660,30000,30000,900
혼자서도 척척 접는 종이접기,신구 후미아키 ,--,20210823,96,9800,8820,490
혼자서도 척척 접는 종이접기 2권 세트,신구 후미아키 ,--,20210823,192,15000,13500,750
혼자서도 척척 접는 종이접기 플러스,신구 후미아키 ,--,20210823,96,9800,8820,490
스파크를 이용한 자연어 처리,앨릭스 토머스 , 이창현 ,20210820,440,34000,30600,1700
어른을 위한 두뇌 놀이 책,개러스 무어 박사 ,--,20210820,112,9900,8910,495
클라우드 네이티브를 위한 데이터 센터 네트워크 구축,디네시 G. 더트 , 정기훈 ,20210820,564,36000,32400,1800
감으로만 일하던 김 팀장은 어떻게 데이터 좀 아는 팀장이 되었나,"황보현우 , 김철수 ",--,20210816,336,17800,16020,890
미래조직을 위한 조직설계의 이해(4판),"현선해 , 최세경 , 서문교 ",--,20210813,292,22000,22000,660
쉽게 배우고 익히는 회계원리(4판),"정용기 , 김선미 , 임영제 , 신영직 , 유지선 ",--,20210813,568,30000,30000,900
쉽게 배우고 익히는 회계원리[객관식/학습문제 해답](4판),"정용기 , 김선미 , 임영제 , 신영직 , 유지선 ",--,20210813,160,7000,7000,210
fastai와 파이토치가 만나 꽃피운 딥러닝,"제러미 하워드 , 실뱅 거거 "," 박찬성 , 김지은 ",20210810,720,44000,39600,2200
"IT CookBook, 짧고 굵게 배우는 JSP 웹 프로그래밍과 스프링 프레임워크",황희정 ,--,20210809,472,27000,27000,810
스케치업 & V-Ray 트레이닝 북(개정판),강석창 , --,20210809,496,28000,25200,1400
생각과 말로 글을 늘리는 초등 10분 글쓰기,강근영 ,--,20210807,324,15800,14220,790
데이터베이스 시스템(7판),"Abraham Silberschatz , Henry F. Korth , S. Sudarshan "," 정연돈 , 권준호 , 김종욱 , 서영균 , 이동호 ",20210805,1248,45000,45000,1350
만들면서 배우는 파이토치 딥러닝,오가와 유타로 , 박광수(아크몬드) ,20210805,544,40000,36000,2000
눈 떠보니 선진국,박태웅 ,--,20210801,228,16500,14850,825
실리콘밸리 리더십,마이클 롭 , 김정혜 ,20210801,368,22000,19800,1100
처음 시작하는 마이크로서비스,"로니 미트라 , 이라클리 나다레이슈빌리 ",--,20210801,344,27000,24300,1350
텐서플로 라이트를 활용한 안드로이드 딥러닝,임태규 ,--,20210801,368,27000,24300,1350
회사에서 바로 통하는  오토캐드 AutoCAD 2022,심미현 , --,20210728,664,28000,25200,1400
5리터의 피,로즈 조지 , 김정아 ,20210727,492,25000,22500,1250
미국주식 스팩투자법,리차드(이명진) ,--,20210726,280,18500,16650,925
재미있고 빠른 숫자 쓰기 1권 : 0부터 50까지,한빛학습연구회 ,--,20210726,88,7500,6750,375
